version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,103,5616,9,12,168,5,165,0,1,0,1,2,0,0,47,5265,7,12,172,1,169,0
0,2,0,0,0,1,2,0,0,103,5616,8,5,166,0,161,0,1,0,1,2,0,0,47,5265,6,13,174,2,165,0
0,2,0,0,0,1,2,0,0,102,5616,8,14,182,4,179,0,1,0,1,2,0,0,47,5265,6,9,175,2,173,0
0,2,0,0,0,1,2,0,0,89,5265,5,13,156,4,134,0,1,0,1,2,0,0,47,5265,7,10,171,6,174,0
0,2,0,0,0,1,2,0,0,83,5265,6,1,139,6,138,0,1,0,1,2,0,0,47,5265,4,9,171,5,165,0
0,2,0,0,0,1,2,0,0,83,5265,5,10,153,18,145,0,1,0,1,2,0,0,47,5265,7,12,173,4,164,0
0,2,0,0,0,1,2,0,0,82,5265,6,17,140,18,137,0,1,0,1,2,0,0,47,5265,6,9,168,3,170,0
0,2,0,0,0,1,2,0,0,88,5616,5,-1,134,29,133,0,1,0,1,2,0,0,47,5265,5,10,167,5,165,0
0,2,0,0,0,1,2,0,0,95,5616,8,11,160,7,156,0,1,0,1,2,0,0,47,5265,5,12,170,3,168,0
0,2,0,0,0,1,2,0,0,95,5616,8,11,167,-3,162,0,1,0,1,2,0,0,47,5265,6,12,174,3,173,0
0,2,0,0,0,1,2,0,0,95,5616,12,10,167,11,161,0,1,0,1,2,0,0,47,5265,5,10,171,3,165,0
0,2,0,0,0,1,2,0,0,101,5616,5,10,162,6,158,0,1,0,1,2,0,0,47,5265,5,11,168,2,166,0
0,2,0,0,0,1,2,0,0,94,5616,7,6,161,8,157,0,1,0,1,2,0,0,47,5265,4,14,171,2,164,0
0,2,0,0,0,1,2,0,0,88,5616,8,12,165,9,158,0,1,0,1,2,0,0,47,5265,5,12,172,4,169,0
0,2,0,0,0,1,2,0,0,94,5616,5,11,167,3,160,0,1,0,1,2,0,0,47,5265,7,13,176,5,170,0
0,2,0,0,0,1,2,0,0,94,5616,14,10,166,6,158,0,1,0,1,2,0,0,47,5265,7,12,171,4,171,0
0,2,0,0,0,1,2,0,0,94,5616,6,10,166,9,160,0,1,0,1,2,0,0,47,5265,7,13,171,3,169,0
0,2,0,0,0,1,2,0,0,94,5616,12,13,165,5,158,0,1,0,1,2,0,0,47,5265,4,13,172,5,167,0
0,2,0,0,0,1,2,0,0,94,5616,10,14,165,13,160,0,1,0,1,2,0,0,47,5265,4,10,172,5,166,0
0,2,0,0,0,1,2,0,0,94,5616,12,14,166,9,166,0,1,0,1,2,0,0,47,5265,9,11,174,3,169,0
0,2,0,0,0,1,2,0,0,94,5616,8,11,170,2,166,0,1,0,1,2,0,0,50,5265,5,9,175,4,171,0
0,2,0,0,0,1,2,0,0,94,5616,10,11,177,3,177,0,1,0,1,2,0,0,50,5265,7,12,173,1,172,0
0,2,0,0,0,1,2,0,0,94,5616,8,9,168,4,165,0,1,0,1,2,0,0,51,5265,5,12,176,3,173,0
0,2,0,0,0,1,2,0,0,94,5616,18,12,174,2,176,0,1,0,1,2,0,0,50,4914,6,5,152,5,145,0
0,2,0,0,0,1,2,0,0,94,5616,13,7,180,1,182,0,1,0,1,2,0,0,47,4914,8,12,166,6,164,0
0,2,0,0,0,1,2,0,0,88,5265,15,1,149,20,150,0,1,0,1,2,0,0,50,4914,3,15,156,7,145,0
0,2,0,0,0,1,2,0,0,88,5265,6,13,156,18,143,0,1,0,1,2,0,0,50,4914,5,19,152,4,152,0
0,2,0,0,0,1,2,0,0,87,5265,6,8,142,21,140,0,1,0,1,2,0,0,50,4914,5,15,151,4,150,0
0,2,0,0,0,1,2,0,0,87,5265,12,8,148,17,143,0,1,0,1,2,0,0,50,4914,4,14,155,4,150,0
0,2,0,0,0,1,2,0,0,87,5265,18,5,156,22,151,0,1,0,1,2,0,0,50,4914,8,9,154,1,152,0
0,2,0,0,0,1,2,0,0,87,5265,19,17,164,16,158,0,1,0,1,2,0,0,50,4914,5,21,152,8,147,0
0,2,0,0,0,1,2,0,0,87,5265,11,12,167,5,155,0,1,0,1,2,0,0,50,4914,8,14,154,4,153,0
0,2,0,0,0,1,2,0,0,87,5265,16,7,156,22,155,0,1,0,1,2,0,0,50,4914,7,20,150,9,152,0
0,2,0,0,0,1,2,0,0,87,5265,9,10,145,25,142,0,1,0,1,2,0,0,50,4914,6,18,159,5,155,0
0,2,0,0,0,1,2,0,0,87,5265,5,7,151,19,148,0,1,0,1,2,0,0,50,4914,3,13,149,14,144,0
0,2,0,0,0,1,2,0,0,87,5265,4,9,154,20,138,0,1,0,1,2,0,0,50,4914,4,15,148,3,143,0
0,2,0,0,0,1,2,0,0,87,5265,4,10,150,22,147,0,1,0,1,2,0,0,50,4914,5,17,154,4,150,0
0,2,0,0,0,1,2,0,0,81,5265,5,1,146,24,144,0,1,0,1,2,0,0,50,4914,6,9,154,4,147,0
0,2,0,0,0,1,2,0,0,81,5265,6,13,151,25,148,0,1,0,1,2,0,0,50,4914,5,17,151,5,146,0
0,2,0,0,0,1,2,0,0,81,5265,6,14,151,18,147,0,1,0,1,2,0,0,50,4914,6,16,153,8,152,0
0,2,0,0,0,1,2,0,0,87,5265,12,16,149,4,145,0,1,0,1,2,0,0,50,4914,6,18,149,2,147,0
0,2,0,0,0,1,2,0,0,86,5265,11,8,145,22,151,0,1,0,1,2,0,0,50,4914,7,16,152,0,145,0
0,2,0,0,0,1,2,0,0,86,5265,8,13,161,15,152,0,1,0,1,2,0,0,50,4914,6,5,150,7,148,0
0,2,0,0,0,1,2,0,0,86,5265,6,4,153,10,144,0,1,0,1,2,0,0,50,4914,8,15,153,9,156,0
0,2,0,0,0,1,2,0,0,86,5265,5,11,163,11,152,0,1,0,1,2,0,0,50,4914,6,16,147,8,142,0
0,2,0,0,0,1,2,0,0,86,5265,5,7,142,26,144,0,1,0,1,2,0,0,49,4914,5,14,150,4,146,0
0,2,0,0,0,1,2,0,0,80,5265,6,4,139,28,143,0,1,0,1,2,0,0,49,4914,6,9,151,2,144,0
0,2,0,0,0,1,2,0,0,80,5265,7,15,151,10,148,0,1,0,1,2,0,0,49,4914,5,12,154,3,148,0
0,2,0,0,0,1,2,0,0,80,5265,5,19,148,19,142,0,1,0,1,2,0,0,49,4914,7,10,151,3,150,0
0,2,0,0,0,1,2,0,0,80,5265,5,10,153,22,147,0,1,0,1,2,0,0,49,4914,6,16,164,1,159,0
0,2,0,0,0,1,2,0,0,80,5265,5,9,142,13,147,0,1,0,1,2,0,0,49,4914,6,11,168,3,165,0
0,2,0,0,0,1,2,0,0,80,5265,5,15,168,14,163,0,1,0,1,2,0,0,49,4914,3,15,149,11,142,0
0,2,0,0,0,1,2,0,0,80,5265,5,10,169,4,165,0,1,0,1,2,0,0,49,4914,8,14,156,6,149,0
0,2,0,0,0,1,2,0,0,80,5265,5,7,156,26,148,0,1,0,1,2,0,0,49,4914,6,11,148,5,145,0
0,2,0,0,0,1,2,0,0,80,5265,5,5,145,22,142,0,1,0,1,2,0,0,49,4914,6,12,156,2,149,0
0,2,0,0,0,1,2,0,0,81,5265,6,10,169,1,160,0,1,0,1,2,0,0,50,4914,6,14,163,0,159,0
0,2,0,0,0,1,2,0,0,80,5265,5,4,147,15,137,0,1,0,1,2,0,0,49,4914,5,13,154,0,148,0
0,2,0,0,0,1,2,0,0,80,5265,4,8,151,21,152,0,1,0,1,2,0,0,49,4914,5,15,160,2,154,0
0,2,0,0,0,1,2,0,0,80,5265,5,16,155,22,152,0,1,0,1,2,0,0,49,4914,4,16,153,6,153,0
0,2,0,0,0,1,2,0,0,86,5265,4,11,146,10,149,0,1,0,1,2,0,0,50,4914,5,15,151,0,152,0
0,2,0,0,0,1,2,0,0,86,5265,5,12,151,7,144,0,1,0,1,2,0,0,50,4914,4,5,149,5,146,0
0,2,0,0,0,1,2,0,0,86,5265,3,15,148,26,142,0,1,0,1,2,0,0,50,4914,5,17,150,10,148,0
0,2,0,0,0,1,2,0,0,86,5265,4,16,146,19,143,0,1,0,1,2,0,0,49,4914,6,15,159,5,155,0
0,2,0,0,0,1,2,0,0,80,5265,5,14,149,24,145,0,1,0,1,2,0,0,50,4914,5,8,150,4,147,0
0,2,0,0,0,1,2,0,0,80,5265,5,-1,144,21,143,0,1,0,1,2,0,0,49,4914,7,13,155,0,147,0
0,2,0,0,0,1,2,0,0,85,5265,4,8,167,21,152,0,1,0,1,2,0,0,49,4914,2,18,148,5,142,0
0,2,0,0,0,1,2,0,0,85,5265,8,10,148,2,141,0,1,0,1,2,0,0,47,4914,3,7,151,3,151,0
0,2,0,0,0,1,2,0,0,85,5265,5,14,152,20,148,0,1,0,1,2,0,0,47,4914,7,13,145,0,144,0
0,2,0,0,0,1,2,0,0,85,5265,6,11,151,23,145,0,1,0,1,2,0,0,47,4914,3,15,145,4,143,0
0,2,0,0,0,1,2,0,0,85,5265,6,13,152,27,152,0,1,0,1,2,0,0,47,4914,6,19,153,11,146,0
0,2,0,0,0,1,2,0,0,85,5265,4,8,147,11,143,0,1,0,1,2,0,0,47,4914,6,21,142,8,145,0
0,2,0,0,0,1,2,0,0,85,5265,5,7,155,23,146,0,1,0,1,2,0,0,47,4914,3,15,151,1,146,0
0,2,0,0,0,1,2,0,0,79,5616,5,13,163,18,161,0,1,0,1,2,0,0,47,5265,7,15,160,13,158,0
0,2,0,0,0,1,2,0,0,91,5616,8,12,170,2,164,0,1,0,1,2,0,0,51,5265,5,12,171,3,166,0
0,2,0,0,0,1,2,0,0,91,5616,7,9,166,4,163,0,1,0,1,2,0,0,51,5265,6,12,172,0,168,0
0,2,0,0,0,1,2,0,0,91,5616,7,8,170,6,164,0,1,0,1,2,0,0,51,5265,4,10,171,3,174,0
0,2,0,0,0,1,2,0,0,91,5616,7,13,169,7,163,0,1,0,1,2,0,0,51,5265,4,10,175,2,171,0
0,2,0,0,0,1,2,0,0,84,5616,6,9,168,5,164,0,1,0,1,2,0,0,51,5265,6,10,174,1,171,0
0,2,0,0,0,1,2,0,0,84,5616,7,11,167,4,161,0,1,0,1,2,0,0,51,5265,6,14,172,5,170,0
0,2,0,0,0,1,2,0,0,84,5616,6,11,169,7,165,0,1,0,1,2,0,0,51,5265,8,10,173,2,169,0
0,2,0,0,0,1,2,0,0,84,5616,7,13,172,6,166,0,1,0,1,2,0,0,55,5265,5,12,173,4,170,0
0,2,0,0,0,1,2,0,0,85,5616,8,11,168,4,165,0,1,0,1,2,0,0,54,5265,4,9,173,4,166,0
0,2,0,0,0,1,2,0,0,85,5616,9,9,173,5,162,0,1,0,1,2,0,0,54,5265,4,11,179,2,171,0
0,2,0,0,0,1,2,0,0,91,5616,6,9,171,2,167,0,1,0,1,2,0,0,50,5265,7,11,174,1,173,0
0,2,0,0,0,1,2,0,0,91,5616,10,11,169,3,165,0,1,0,1,2,0,0,50,4914,4,9,152,6,151,0
0,2,0,0,0,1,2,0,0,91,5616,6,9,171,5,167,0,1,0,1,2,0,0,44,4914,4,19,147,1,145,0
0,2,0,0,0,1,2,0,0,91,5616,6,14,169,4,176,0,1,0,1,2,0,0,44,4914,6,18,151,5,144,0
0,2,0,0,0,1,2,0,0,91,5616,7,10,167,4,165,0,1,0,1,2,0,0,47,4914,4,13,155,6,155,0
0,2,0,0,0,1,2,0,0,91,5616,6,10,167,7,166,0,1,0,1,2,0,0,47,4914,6,14,158,3,157,0
0,2,0,0,0,1,2,0,0,91,5616,8,12,171,3,166,0,1,0,1,2,0,0,47,4914,6,12,154,4,146,0
0,2,0,0,0,1,2,0,0,92,5616,9,8,171,2,163,0,1,0,1,2,0,0,47,4914,4,16,152,3,152,0
0,2,0,0,0,1,2,0,0,98,5616,7,11,171,5,168,0,1,0,1,2,0,0,47,4914,5,13,149,5,143,0
0,2,0,0,0,1,2,0,0,98,5616,7,10,171,5,167,0,1,0,1,2,0,0,47,4914,5,14,150,9,149,0
0,2,0,0,0,1,2,0,0,98,5616,6,10,169,6,165,0,1,0,1,2,0,0,47,4914,7,10,157,4,152,0
0,2,0,0,0,1,2,0,0,98,5616,7,11,170,7,164,0,1,0,1,2,0,0,47,4914,7,18,148,1,147,0
0,2,0,0,0,1,2,0,0,98,5616,8,10,169,8,162,0,1,0,1,2,0,0,47,4914,4,14,151,0,144,0
0,2,0,0,0,1,2,0,0,98,5616,9,11,169,9,166,0,1,0,1,2,0,0,47,4914,5,20,154,7,150,0
0,2,0,0,0,1,2,0,0,98,5616,6,11,173,8,169,0,1,0,1,2,0,0,47,4914,4,20,153,5,149,0
0,2,0,0,0,1,2,0,0,98,5616,8,10,172,3,167,0,1,0,1,2,0,0,47,4914,5,13,152,3,150,0
0,2,0,0,0,1,2,0,0,98,5616,11,10,171,5,168,0,1,0,1,2,0,0,47,4914,5,15,155,3,146,0
0,2,0,0,0,1,2,0,0,98,5265,5,4,140,25,140,0,1,0,1,2,0,0,47,4914,4,9,151,2,144,0
0,2,0,0,0,1,2,0,0,91,5265,6,-2,142,22,146,0,1,0,1,2,0,0,47,4914,5,12,157,2,154,0
0,2,0,0,0,1,2,0,0,91,5265,4,10,164,2,162,0,1,0,1,2,0,0,47,4914,4,12,161,1,160,0
0,2,0,0,0,1,2,0,0,91,5265,4,12,139,5,131,0,1,0,1,2,0,0,47,4914,4,14,155,1,154,0
0,2,0,0,0,1,2,0,0,91,5265,5,6,152,29,141,0,1,0,1,2,0,0,47,4914,5,15,157,0,149,0
0,2,0,0,0,1,2,0,0,85,5265,5,1,146,24,144,0,1,0,1,2,0,0,47,4914,5,11,166,3,163,0
0,2,0,0,0,1,2,0,0,85,5265,6,11,150,22,142,0,1,0,1,2,0,0,47,4914,5,9,165,6,156,0
0,2,0,0,0,1,2,0,0,91,5265,4,11,160,17,144,0,1,0,1,2,0,0,47,4914,6,12,161,1,156,0
0,2,0,0,0,1,2,0,0,91,5265,6,13,144,23,145,0,1,0,1,2,0,0,47,4914,5,13,149,5,149,0
