version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,91494000,114.180068862,22.305637747,17048.7,18661.8,1258.5,2679.7
0,0,0,91495000,114.180068823,22.305637669,17076.3,18689.4,1255.5,2669.0
0,0,0,91496000,114.180068614,22.305637609,17064.9,18678.0,1254.2,2662.5
0,0,0,91497000,114.180068365,22.305637573,17055.5,18668.6,1254.7,2660.2
0,0,0,91498000,114.180068107,22.305637528,17047.8,18660.9,1254.5,2656.3
0,0,0,91499000,114.180067925,22.305637469,17029.0,18642.1,1253.6,2651.8
0,0,0,91500000,114.180067816,22.305637483,17020.2,18633.3,1251.7,2646.3
0,0,0,91501000,114.180067588,22.305637559,17008.5,18621.6,1249.5,2640.4
0,0,0,91502000,114.180067261,22.305637635,16967.3,18580.4,1246.8,2631.8
0,0,0,91503000,114.180067107,22.305637545,16973.0,18586.1,1244.4,2624.0
0,0,0,91504000,114.180066939,22.305637171,17024.3,18637.4,1240.7,2617.3
0,0,0,91505000,114.180065649,22.305637193,17081.4,18694.5,1237.0,2616.1
0,0,0,91506000,114.18006556,22.305637862,17240.9,18854.0,1241.4,2628.6
0,0,0,91507000,114.18006629,22.305636975,17496.6,19109.7,1241.4,2623.1
0,0,0,91508000,114.180067336,22.305634561,17634.8,19247.9,1236.0,2617.9
0,0,0,91509000,114.180067015,22.305631666,17760.2,19373.3,1229.4,2607.7
0,0,0,91510000,114.180067291,22.30562526,17614.1,19227.2,1223.4,2596.6
0,0,0,91511000,114.180065542,22.305621221,17597.4,19210.5,1217.9,2577.4
0,0,0,91512000,114.180062029,22.305619264,17481.7,19094.8,1214.4,2568.9
0,0,0,91513000,114.180055829,22.305616685,17394.0,19007.1,1212.9,2562.6
0,0,0,91514000,114.180048183,22.30561398,17198.9,18812.0,1210.3,2558.8
0,0,0,91515000,114.180041428,22.305611741,17316.0,18929.2,1208.8,2564.8
0,0,0,91516000,114.180034353,22.305610122,17410.5,19023.7,1210.0,2582.8
0,0,0,91517000,114.180027242,22.305609044,17416.1,19029.2,1211.3,2596.5
0,0,0,91518000,114.180020805,22.305608065,17545.9,19159.1,1213.1,2613.0
0,0,0,91519000,114.180014018,22.30560568,17671.9,19285.1,1217.3,2635.5
0,0,0,91520000,114.180006987,22.305602382,17510.2,19123.4,1223.5,2660.3
0,0,0,91521000,114.180001442,22.30559907,17492.7,19106.0,1226.4,2681.5
0,0,0,91522000,114.17999644,22.305595649,17466.6,19079.9,1228.8,2701.6
0,0,0,91523000,114.179992447,22.305592662,17367.8,18981.1,1232.4,2717.7
0,0,0,91524000,114.179989437,22.305589024,17310.9,18924.2,1236.2,2733.9
0,0,0,91525000,114.179986709,22.305586015,17232.2,18845.5,1238.3,2744.4
0,0,0,91526000,114.179983467,22.305583691,17020.6,18633.9,1239.9,2761.4
0,0,0,91527000,114.179980201,22.305580766,16853.9,18467.2,1242.7,2788.3
0,0,0,91528000,114.179978002,22.305577897,16617.3,18230.6,1246.2,2810.3
0,0,0,91529000,114.179976597,22.305575707,16632.3,18245.6,1251.8,2839.8
0,0,0,91530000,114.179975579,22.305574404,16649.4,18262.7,1258.1,2861.8
0,0,0,91531000,114.179975388,22.30557393,16706.9,18320.2,1264.0,2882.2
0,0,0,91532000,114.179975368,22.305573573,16838.9,18452.2,1268.5,2900.3
0,0,0,91533000,114.17997386,22.30557293,16743.2,18356.6,1274.0,2928.4
0,0,0,91534000,114.179970434,22.305571485,16565.0,18178.3,1279.5,2961.4
0,0,0,91535000,114.179966318,22.305569172,16482.1,18095.5,1284.3,2989.2
0,0,0,91536000,114.179961855,22.305564818,16389.0,18002.4,1291.0,3011.9
0,0,0,91537000,114.179958421,22.305560469,16310.0,17923.4,1300.7,3045.4
0,0,0,91538000,114.179955907,22.305557302,16353.6,17966.9,1309.5,3063.5
0,0,0,91539000,114.179953177,22.305554058,16213.7,17827.1,1317.4,3090.5
0,0,0,91540000,114.179949269,22.305549798,16439.9,18053.3,1329.4,3110.5
0,0,0,91541000,114.179945135,22.305546,16458.1,18071.5,1341.2,3129.2
0,0,0,91542000,114.179941671,22.305541784,16242.7,17856.1,1354.7,3152.9
0,0,0,91543000,114.179937853,22.305537091,16058.9,17672.3,1375.0,3175.9
0,0,0,91544000,114.179934176,22.30553242,15786.1,17399.5,1398.5,3220.1
0,0,0,91545000,114.179930032,22.305527951,15896.7,17510.1,1416.9,3252.4
0,0,0,91546000,114.179925982,22.305523758,16107.8,17721.3,1431.0,3285.2
0,0,0,91547000,114.179921823,22.305519473,16218.6,17832.1,1447.3,3336.8
0,0,0,91548000,114.179917366,22.305515764,16255.4,17868.9,1466.3,3400.8
0,0,0,91549000,114.179912151,22.305511255,16555.4,18168.9,1481.9,3446.4
0,0,0,91550000,114.179906815,22.305506185,16696.6,18310.1,1498.7,3504.0
0,0,0,91551000,114.179899965,22.305502484,16688.4,18301.9,1520.9,3559.6
0,0,0,91552000,114.1798944,22.305498472,16890.7,18504.2,1543.8,3626.7
0,0,0,91553000,114.179888613,22.305491444,16869.6,18483.2,1573.2,3709.8
0,0,0,91554000,114.179883937,22.305483257,16858.1,18471.6,1591.6,3762.9
0,0,0,91555000,114.179883271,22.305474614,17029.0,18642.5,1599.1,3812.9
0,0,0,91556000,114.179885981,22.305465668,17370.4,18983.9,1608.8,3861.0
0,0,0,91557000,114.179890743,22.305455957,17580.0,19193.5,1616.1,3892.0
0,0,0,91558000,114.179896945,22.305445786,17976.9,19590.3,1622.9,3910.2
0,0,0,91559000,114.179903368,22.305436781,18072.9,19686.3,1631.8,3940.9
0,0,0,91560000,114.179909378,22.305429508,18205.2,19818.5,1644.0,3971.1
0,0,0,91561000,114.179915626,22.305422237,18557.0,20170.3,1655.4,3993.2
0,0,0,91562000,114.179921717,22.305414558,18689.4,20302.7,1669.3,4023.2
0,0,0,91563000,114.179928446,22.305407163,18692.6,20305.8,1682.3,4033.3
0,0,0,91564000,114.179935028,22.305398743,18940.9,20554.1,1698.1,4055.2
0,0,0,91565000,114.179942534,22.305392141,18800.7,20413.9,1733.5,4071.9
0,0,0,91566000,114.179949897,22.305385727,18642.8,20255.9,1743.0,4073.2
0,0,0,91567000,114.17995833,22.305379288,18641.8,20255.0,1742.6,4083.7
0,0,0,91568000,114.179968092,22.305375809,18983.9,20597.0,1734.3,4088.3
0,0,0,91569000,114.17997884,22.305375368,19317.8,20930.9,1719.7,4092.1
0,0,0,91570000,114.179989247,22.305378323,19350.7,20963.8,1708.7,4105.900000000001
0,0,0,91571000,114.179998504,22.305384039,19331.5,20944.5,1702.6,4122.5
0,0,0,91572000,114.180006263,22.305390835,19419.1,21032.1,1703.0,4154.900000000001
0,0,0,91573000,114.180013406,22.305397926,19254.9,20867.9,1703.1,4175.6
0,0,0,91574000,114.180019728,22.305404237,19136.7,20749.7,1705.8,4198.7
0,0,0,91575000,114.180025521,22.305411943,19138.4,20751.3,1707.0,4227.3
0,0,0,91576000,114.180031784,22.305419506,19193.2,20806.2,1705.4,4245.6
0,0,0,91577000,114.180038582,22.305427188,19307.2,20920.1,1700.8,4255.0
0,0,0,91578000,114.180046256,22.305435274,19755.6,21368.5,1695.7,4260.0
0,0,0,91579000,114.180054277,22.305444318,20177.5,21790.4,1690.7,4285.7
0,0,0,91580000,114.180062968,22.30545172,20420.1,22033.0,1682.6,4262.5
0,0,0,91581000,114.180071672,22.305457674,20868.5,22481.4,1671.9,4228.900000000001
0,0,0,91582000,114.180079502,22.305464374,21093.5,22706.4,1662.4,4222.900000000001
0,0,0,91583000,114.18008897,22.305470992,21965.4,23578.2,1648.9,4188.2
0,0,0,91584000,114.180097813,22.305477695,22037.0,23649.8,1634.2,4153.7
0,0,0,91585000,114.180108143,22.305484503,22507.5,24120.2,1620.7,4122.1
0,0,0,91586000,114.180118779,22.305491813,22788.4,24401.1,1607.3,4085.7
0,0,0,91587000,114.180129428,22.305498695,23219.2,24831.9,1596.6,4048.8
0,0,0,91588000,114.180139317,22.305505681,23428.1,25040.8,1590.2,4039.0
0,0,0,91589000,114.180149604,22.305512678,23558.8,25171.4,1582.9,4026.9
0,0,0,91590000,114.18016083,22.305518867,23813.8,25426.5,1573.1,4005.2
0,0,0,91591000,114.180170492,22.30552452,23855.8,25468.4,1561.9,3981.0
0,0,0,91592000,114.180179862,22.305530313,23516.5,25129.2,1552.2,3960.7
0,0,0,91593000,114.180189841,22.305536677,23300.8,24913.4,1543.9,3949.8
0,0,0,91594000,114.1801992,22.305542649,23189.3,24801.8,1538.3,3944.1
0,0,0,91595000,114.180207549,22.305548793,23020.9,24633.4,1533.2,3938.0
0,0,0,91596000,114.180216756,22.305555172,22962.9,24575.4,1529.3,3935.7
0,0,0,91597000,114.180226623,22.305561047,22832.7,24445.2,1526.0,3938.1
0,0,0,91598000,114.180235804,22.305567348,22373.5,23986.0,1521.8,3935.9
0,0,0,91599000,114.180245325,22.305573092,22419.3,24031.7,1516.7,3931.5
0,0,0,91600000,114.180254678,22.305579064,22439.7,24052.1,1511.7,3934.5
0,0,0,91601000,114.180263917,22.305584924,22238.2,23850.6,1505.8,3936.4
0,0,0,91602000,114.180273593,22.305590749,22220.6,23832.9,1502.6,3947.7
0,0,0,91603000,114.180283504,22.305596432,22214.1,23826.4,1499.2,3956.5
0,0,0,91604000,114.180292421,22.305602658,22142.1,23754.4,1498.3,3974.6
0,0,0,91605000,114.180300823,22.305609486,22273.8,23886.1,1496.5,3983.1
0,0,0,91606000,114.180309788,22.305615425,22174.9,23787.2,1492.7,3985.4
0,0,0,91607000,114.180319738,22.305620578,22226.2,23838.5,1491.7,3992.3
0,0,0,91608000,114.180328985,22.305626517,22218.3,23830.5,1495.5,4009.5
0,0,0,91609000,114.180338578,22.305632767,22491.0,24103.2,1497.0,4008.9
0,0,0,91610000,114.180347154,22.305639037,22594.6,24206.8,1494.7,3981.5
0,0,0,91611000,114.180354276,22.305646205,22651.9,24264.1,1496.2,3968.3
0,0,0,91612000,114.18035937,22.30565448,22735.6,24347.7,1498.0,3948.6
0,0,0,91613000,114.180362937,22.305663013,22657.0,24269.1,1502.9,3913.7
0,0,0,91614000,114.180366087,22.305672282,22870.3,24482.5,1512.0,3882.9
0,0,0,91615000,114.180368493,22.305682557,22506.7,24118.9,1538.8,3888.2
0,0,0,91616000,114.180369853,22.305692172,21862.5,23474.7,1565.8,3859.5
0,0,0,91617000,114.180371119,22.305702138,21398.7,23010.9,1571.9,3805.1
0,0,0,91618000,114.180369584,22.305711751,21256.8,22869.0,1575.6,3759.0
0,0,0,91619000,114.180368509,22.305721934,21293.8,22906.0,1581.4,3715.4
0,0,0,91620000,114.180366683,22.305731656,21144.5,22756.7,1586.6,3679.3
0,0,0,91621000,114.180363754,22.305740731,21376.1,22988.4,1592.9,3639.2
0,0,0,91622000,114.18036875,22.305749422,21584.8,23197.0,2244.9,3699.6
0,0,0,91623000,114.180370903,22.30575831,21758.2,23370.4,3425.3,3841.7
0,0,0,91624000,114.180365893,22.305768876,21406.2,23018.5,3704.5,3847.7
0,0,0,91625000,114.180361736,22.305781156,21324.7,22937.0,3555.6,3804.6
0,0,0,91626000,114.180355164,22.305792665,21148.9,22761.2,3406.5,3783.4
0,0,0,91627000,114.180346908,22.305800906,20693.0,22305.4,3247.4,3739.2
0,0,0,91628000,114.180338083,22.305808149,20452.7,22065.0,3107.9,3706.2
0,0,0,91629000,114.180328992,22.305814466,20440.6,22053.0,3003.0,3689.5
0,0,0,91630000,114.180320504,22.305820488,20378.1,21990.6,2969.1,3732.7
0,0,0,91631000,114.180312558,22.305826368,19794.8,21407.3,2919.3,3745.0
0,0,0,91632000,114.180298588,22.305830717,20730.0,22342.6,2844.9,3755.6
0,0,0,91633000,114.180286406,22.305832818,20581.9,22194.5,2766.4,3751.0
0,0,0,91634000,114.180272679,22.305831177,21037.6,22650.2,2682.6,3708.8
0,0,0,91635000,114.180257627,22.30582893,21022.9,22635.6,2618.4,3691.2
0,0,0,91636000,114.180245481,22.305825879,20930.7,22543.4,2545.3,3660.5
0,0,0,91637000,114.180236034,22.305822059,20635.6,22248.3,2466.5,3625.7
0,0,0,91638000,114.180226645,22.305817165,20518.4,22131.2,2392.8,3588.2
0,0,0,91639000,114.180217786,22.30581145,20574.9,22187.7,2325.4,3551.8
0,0,0,91640000,114.180207944,22.305805761,20837.9,22450.8,2262.2,3510.6
0,0,0,91641000,114.180198495,22.305799453,20654.2,22267.0,2206.8,3482.5
0,0,0,91642000,114.180189764,22.305793284,20663.8,22276.7,2175.8,3494.1
0,0,0,91643000,114.180180038,22.305787185,20623.5,22236.5,2141.8,3469.0
0,0,0,91644000,114.180171138,22.305780786,20616.5,22229.4,2100.1,3454.6
0,0,0,91645000,114.18016224,22.30577429,20499.5,22112.5,2059.0,3437.5
0,0,0,91646000,114.180154293,22.30576754,20519.1,22132.1,2021.5,3425.2
0,0,0,91647000,114.180145135,22.305760701,20609.5,22222.5,1986.3,3413.3
0,0,0,91648000,114.180136847,22.305753527,20775.2,22388.2,1954.7,3411.3
0,0,0,91649000,114.180127006,22.305746494,20763.8,22376.9,1917.4,3412.5
0,0,0,91650000,114.180117064,22.305740132,20766.3,22379.4,1883.2,3413.1
0,0,0,91651000,114.180106662,22.305733997,20752.6,22365.7,1847.3,3395.1
0,0,0,91652000,114.180097462,22.305727635,20831.0,22444.1,1818.2,3377.2
0,0,0,91653000,114.18008886,22.305721321,20908.8,22521.9,1790.2,3367.1
0,0,0,91654000,114.180082441,22.305715455,20893.2,22506.4,1766.4,3358.2
0,0,0,91655000,114.180082179,22.305708964,20837.2,22450.4,1748.4,3347.0
0,0,0,91656000,114.180084427,22.305699893,20988.9,22602.0,1712.4,3312.7
0,0,0,91657000,114.180085553,22.305689151,21227.5,22840.6,1672.3,3270.8
0,0,0,91658000,114.180082797,22.305676947,21232.1,22845.2,1636.3,3237.0
0,0,0,91659000,114.180079327,22.305664686,21279.5,22892.6,1603.2,3205.6
0,0,0,91660000,114.180075574,22.305652698,21500.6,23113.7,1568.0,3171.4
0,0,0,91661000,114.180072028,22.3056408,21663.3,23276.4,1535.5,3134.2
0,0,0,91662000,114.180067265,22.30562916,21833.4,23446.5,1502.4,3086.5
0,0,0,91663000,114.180061528,22.305620061,21861.8,23474.9,1474.6,3039.0
0,0,0,91664000,114.180054746,22.305617061,21675.1,23288.2,1458.8,3004.7
0,0,0,91665000,114.180050267,22.305619791,21161.0,22774.2,1446.2,2994.7
0,0,0,91666000,114.180049418,22.305621941,21037.2,22650.3,1435.8,2997.8
0,0,0,91667000,114.180049316,22.305622496,20994.2,22607.3,1431.5,3018.1
0,0,0,91668000,114.180050208,22.305622567,20915.7,22528.8,1435.3,3069.4
0,0,0,91669000,114.180049454,22.305622856,20809.6,22422.8,1432.8,3077.0
0,0,0,91670000,114.180048921,22.305623008,20718.3,22331.4,1430.1,3106.1
0,0,0,91671000,114.180048298,22.305623107,20709.0,22322.1,1426.2,3113.7
0,0,0,91672000,114.180047285,22.305623054,20879.2,22492.3,1418.9,3111.9
0,0,0,91673000,114.180047156,22.305622851,21145.3,22758.4,1407.7,3099.9
0,0,0,91674000,114.180047079,22.305622883,21253.0,22866.1,1397.7,3091.6
0,0,0,91675000,114.18004708,22.305622771,21437.2,23050.4,1387.6,3078.8
0,0,0,91676000,114.180046925,22.305622632,21652.1,23265.3,1377.7,3061.7
0,0,0,91677000,114.180046696,22.305622581,21856.3,23469.5,1367.5,3046.8
0,0,0,91678000,114.18004671,22.305622419,22123.1,23736.3,1358.9,3034.3
0,0,0,91679000,114.180046768,22.305622273,22396.7,24009.9,1349.8,3022.2
0,0,0,91680000,114.180046287,22.305622257,22483.0,24096.1,1340.8,3009.2
0,0,0,91681000,114.180045844,22.305622337,22622.0,24235.2,1334.6,2998.4
0,0,0,91682000,114.180045574,22.305622354,22806.3,24419.5,1327.3,2987.2
0,0,0,91683000,114.180045377,22.305622518,22912.8,24526.0,1319.5,2974.0
0,0,0,91684000,114.180045573,22.305622499,23024.4,24637.5,1312.3,2971.0
0,0,0,91685000,114.180045708,22.305622432,23145.9,24759.0,1307.3,2974.3
0,0,0,91686000,114.180045486,22.305622419,23171.2,24784.4,1300.9,2975.0
0,0,0,91687000,114.180045177,22.305622512,23289.7,24902.8,1293.8,2971.2
0,0,0,91688000,114.180044823,22.305622671,23462.0,25075.1,1286.9,2965.0
0,0,0,91689000,114.18004448,22.305622864,23654.7,25267.9,1280.4,2957.3
0,0,0,91690000,114.180044152,22.305623135,23852.4,25465.5,1273.5,2946.0
0,0,0,91691000,114.180043943,22.30562342,24061.8,25674.9,1267.5,2937.0
0,0,0,91692000,114.180043597,22.305623643,24225.1,25838.3,1263.4,2931.9
0,0,0,91693000,114.180043379,22.30562379,24398.0,26011.2,1259.5,2926.3
0,0,0,91694000,114.180043131,22.305623988,24565.7,26178.9,1255.1,2919.0
0,0,0,91695000,114.180043001,22.305624168,24767.0,26380.2,1250.9,2911.8
0,0,0,91696000,114.180042714,22.305624354,24853.4,26466.5,1246.9,2905.9
0,0,0,91697000,114.180042674,22.305624459,25047.8,26661.0,1242.5,2898.3
0,0,0,91698000,114.1800427,22.305624538,25224.2,26837.4,1238.3,2891.0
0,0,0,91699000,114.180042849,22.305624509,25342.3,26955.4,1235.4,2886.8
0,0,0,91700000,114.180042762,22.305624615,25449.5,27062.7,1232.6,2881.2
0,0,0,91701000,114.180042816,22.305624649,25581.2,27194.4,1229.8,2874.9
0,0,0,91702000,114.180042869,22.305624655,25730.2,27343.4,1226.9,2867.7
0,0,0,91703000,114.180042888,22.305624697,25920.6,27533.8,1224.1,2860.7
0,0,0,91704000,114.180042944,22.305624753,26109.1,27722.3,1222.3,2856.3
0,0,0,91705000,114.180042908,22.305624796,26309.2,27922.4,1216.9,2847.5
0,0,0,91706000,114.180042581,22.305625,26385.0,27998.2,1207.0,2836.4
0,0,0,91707000,114.180042265,22.305625204,26538.9,28152.1,1195.2,2819.5
0,0,0,91708000,114.18004203,22.305625358,26712.5,28325.7,1184.1,2803.2
0,0,0,91709000,114.180041905,22.305625462,26909.3,28522.5,1174.5,2788.3
0,0,0,91710000,114.180041732,22.305625639,27059.5,28672.6,1165.0,2771.9
0,0,0,91711000,114.180041379,22.305625873,27124.7,28737.9,1156.8,2757.5
0,0,0,91712000,114.180041138,22.305626154,27214.3,28827.5,1149.1,2743.4
0,0,0,91713000,114.180040973,22.305626372,27307.7,28920.8,1141.8,2730.1
0,0,0,91714000,114.180040774,22.305626576,27345.5,28958.7,1134.8,2714.7
0,0,0,91715000,114.180040647,22.305626791,27434.7,29047.9,1127.8,2698.0
0,0,0,91716000,114.18004057,22.305626961,27538.4,29151.5,1120.6,2682.1
0,0,0,91717000,114.180040234,22.305627161,27565.9,29179.1,1113.8,2668.1
