iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
91494000,190695,2390,18,1,1,1,6
91495000,190520,2390,18,1,1,1,6
91496000,190345,2390,18,1,1,1,6
91497000,190170,2390,18,1,1,1,6
91498000,189996,2390,18,1,1,1,6
91499000,189821,2390,18,1,1,1,6
91500000,189647,2390,18,1,1,1,6
91501000,189474,2390,18,1,1,1,6
91502000,189300,2390,18,1,1,1,6
91503000,189126,2390,18,1,1,1,6
91504000,188951,2390,18,1,1,1,6
91505000,188776,2390,18,1,1,1,6
91506000,188601,2390,18,1,1,1,6
91507000,188426,2390,18,1,1,1,6
91508000,188251,2390,18,1,1,1,6
91509000,188076,2390,18,1,1,1,6
91510000,187902,2390,18,1,1,1,6
91511000,187727,2390,18,1,1,1,6
91512000,187553,2390,18,1,1,1,6
91513000,187378,2390,18,1,1,1,6
91514000,187204,2390,18,1,1,1,6
91515000,187032,2390,18,1,1,1,6
91516000,186860,2390,18,1,1,1,6
91517000,186688,2390,18,1,1,1,6
91518000,186517,2390,18,1,1,1,6
91519000,186346,2390,18,1,1,1,6
91520000,186175,2390,18,1,1,1,6
91521000,186004,2390,18,1,1,1,6
91522000,185831,2390,18,1,1,1,6
91523000,185655,2390,18,1,1,1,6
91524000,185478,2390,18,1,1,1,6
91525000,185301,2390,18,1,1,1,6
91526000,185124,2390,18,1,1,1,6
91527000,184946,2390,18,1,1,1,6
91528000,184768,2390,18,1,1,1,6
91529000,184589,2390,18,1,1,1,6
91530000,184409,2390,18,1,1,1,6
91531000,184228,2390,18,1,1,1,6
91532000,184046,2390,18,1,1,1,7
91533000,183864,2390,18,1,1,1,7
91534000,183683,2390,18,1,1,1,7
91535000,183503,2390,18,1,1,1,7
91536000,183322,2390,18,1,1,1,7
91537000,183140,2390,18,1,1,1,7
91538000,182957,2390,18,1,1,1,7
91539000,182772,2390,18,1,1,1,7
91540000,182588,2390,18,1,1,1,7
91541000,182404,2390,18,1,1,1,7
91542000,182222,2390,18,1,1,1,7
91543000,182040,2390,18,1,1,1,7
91544000,181859,2390,18,1,1,1,7
91545000,181676,2390,18,1,1,1,7
91546000,181494,2390,18,1,1,1,7
91547000,181312,2390,18,1,1,1,8
91548000,181130,2390,18,1,1,1,8
91549000,180947,2390,18,1,1,1,8
91550000,180765,2390,18,1,1,1,8
91551000,180582,2390,18,1,1,1,8
91552000,180399,2390,18,1,1,1,8
91553000,180217,2390,18,1,1,1,8
91554000,180034,2390,18,1,1,1,9
91555000,179852,2390,18,1,1,1,9
91556000,179669,2390,18,1,1,1,9
91557000,179486,2390,18,1,1,1,9
91558000,179303,2390,18,1,1,1,9
91559000,179120,2390,18,1,1,1,9
91560000,178936,2390,18,1,1,1,9
91561000,178752,2390,18,1,1,1,9
91562000,178569,2390,18,1,1,1,9
91563000,178386,2390,18,1,1,1,9
91564000,178204,2390,18,1,1,1,9
91565000,178022,2390,18,1,1,1,9
91566000,177839,2390,18,1,1,1,9
91567000,177655,2390,18,1,1,1,9
91568000,177470,2390,18,1,1,1,9
91569000,177284,2390,18,1,1,1,9
91570000,177100,2390,18,1,1,1,9
91571000,176917,2390,18,1,1,1,9
91572000,176733,2390,18,1,1,1,9
91573000,176549,2390,18,1,1,1,9
91574000,176365,2390,18,1,1,1,10
91575000,176179,2390,18,1,1,1,10
91576000,175994,2390,18,1,1,1,10
91577000,175810,2390,18,1,1,1,10
91578000,175628,2390,18,1,1,1,10
91579000,175447,2390,18,1,1,1,10
91580000,175267,2390,18,1,1,1,10
91581000,175086,2390,18,1,1,1,10
91582000,174906,2390,18,1,1,1,10
91583000,174725,2390,18,1,1,1,9
91584000,174546,2390,18,1,1,1,9
91585000,174367,2390,18,1,1,1,9
91586000,174187,2390,18,1,1,1,9
91587000,174006,2390,18,1,1,1,9
91588000,173825,2390,18,1,1,1,9
91589000,173645,2390,18,1,1,1,9
91590000,173465,2390,18,1,1,1,9
91591000,173285,2390,18,1,1,1,9
91592000,173105,2390,18,1,1,1,9
91593000,172925,2390,18,1,1,1,9
91594000,172745,2390,18,1,1,1,9
91595000,172564,2390,18,1,1,1,9
91596000,172383,2390,18,1,1,1,9
91597000,172202,2390,18,1,1,1,9
91598000,172021,2390,18,1,1,1,9
91599000,171840,2390,18,1,1,1,9
91600000,171659,2390,18,1,1,1,9
91601000,171478,2390,18,1,1,1,9
91602000,171296,2390,18,1,1,1,9
91603000,171114,2390,18,1,1,1,9
91604000,170933,2390,18,1,1,1,9
91605000,170751,2390,18,1,1,1,9
91606000,170569,2390,18,1,1,1,9
91607000,170387,2390,18,1,1,1,9
91608000,170205,2390,18,1,1,1,9
91609000,170022,2390,18,1,1,1,9
91610000,169840,2390,18,1,1,1,9
91611000,169658,2390,18,1,1,1,9
91612000,169475,2390,18,1,1,1,9
91613000,169292,2390,18,1,1,1,9
91614000,169108,2390,18,1,1,1,9
91615000,168924,2390,18,1,1,1,9
91616000,168740,2390,18,1,1,1,9
91617000,168555,2390,18,1,1,1,8
91618000,168371,2390,18,1,1,1,8
91619000,168188,2390,18,1,1,1,8
91620000,168005,2390,18,1,1,1,8
91621000,167822,2390,18,1,1,1,8
91622000,167639,2390,18,1,1,1,8
91623000,167456,2390,18,1,1,1,8
91624000,167276,2390,18,1,1,1,8
91625000,167096,2390,18,1,1,1,8
91626000,166917,2390,18,1,1,1,8
91627000,166740,2390,18,1,1,1,8
91628000,166564,2390,18,1,1,1,8
91629000,166387,2390,18,1,1,1,8
91630000,166209,2390,18,1,1,1,8
91631000,166034,2390,18,1,1,1,8
91632000,165851,2390,18,1,1,1,8
91633000,165669,2390,18,1,1,1,8
91634000,165489,2390,18,1,1,1,8
91635000,165315,2390,18,1,1,1,8
91636000,165144,2390,18,1,1,1,8
91637000,164973,2390,18,1,1,1,8
91638000,164801,2390,18,1,1,1,8
91639000,164631,2390,18,1,1,1,8
91640000,164459,2390,18,1,1,1,8
91641000,164284,2390,18,1,1,1,8
91642000,164107,2390,18,1,1,1,8
91643000,163935,2390,18,1,1,1,8
91644000,163765,2390,18,1,1,1,8
91645000,163595,2390,18,1,1,1,8
91646000,163424,2390,18,1,1,1,8
91647000,163252,2390,18,1,1,1,8
91648000,163080,2390,18,1,1,1,8
91649000,162909,2390,18,1,1,1,8
91650000,162736,2390,18,1,1,1,8
91651000,162562,2390,18,1,1,1,8
91652000,162390,2390,18,1,1,1,8
91653000,162217,2390,18,1,1,1,8
91654000,162045,2390,18,1,1,1,8
91655000,161872,2390,18,1,1,1,8
91656000,161697,2390,18,1,1,1,7
91657000,161521,2390,18,1,1,1,7
91658000,161346,2390,18,1,1,1,7
91659000,161170,2390,18,1,1,1,7
91660000,160995,2390,18,1,1,1,7
91661000,160822,2390,18,1,1,1,7
91662000,160649,2390,18,1,1,1,7
91663000,160475,2390,18,1,1,1,7
91664000,160302,2390,18,1,1,1,7
91665000,160128,2390,18,1,1,1,7
91666000,159954,2390,18,1,1,1,7
91667000,159779,2390,18,1,1,1,7
91668000,159605,2390,18,1,1,1,7
91669000,159430,2390,18,1,1,1,7
91670000,159255,2390,18,1,1,1,7
91671000,159080,2390,18,1,1,1,7
91672000,158906,2390,18,1,1,1,7
91673000,158731,2390,18,1,1,1,7
91674000,158557,2390,18,1,1,1,7
91675000,158382,2390,18,1,1,1,7
91676000,158207,2390,18,1,1,1,7
91677000,158033,2390,18,1,1,1,7
91678000,157858,2390,18,1,1,1,7
91679000,157683,2390,18,1,1,1,7
91680000,157509,2390,18,1,1,1,7
91681000,157334,2390,18,1,1,1,7
91682000,157159,2390,18,1,1,1,7
91683000,156983,2390,18,1,1,1,7
91684000,156808,2390,18,1,1,1,7
91685000,156632,2390,18,1,1,1,7
91686000,156456,2390,18,1,1,1,7
91687000,156279,2390,18,1,1,1,7
91688000,156102,2390,18,1,1,1,7
91689000,155925,2390,18,1,1,1,7
91690000,155748,2390,18,1,1,1,7
91691000,155571,2390,18,1,1,1,6
91692000,155393,2390,18,1,1,1,6
91693000,155215,2390,18,1,1,1,6
91694000,155037,2390,18,1,1,1,6
91695000,154859,2390,18,1,1,1,6
91696000,154682,2390,18,1,1,1,6
91697000,154504,2390,18,1,1,1,6
91698000,154327,2390,18,1,1,1,6
91699000,154149,2390,18,1,1,1,6
91700000,153971,2390,18,1,1,1,6
91701000,153793,2390,18,1,1,1,6
91702000,153614,2390,18,1,1,1,6
91703000,153435,2390,18,1,1,1,6
91704000,153255,2390,18,1,1,1,6
91705000,153076,2390,18,1,1,1,6
91706000,152896,2390,18,1,1,1,6
91707000,152717,2390,18,1,1,1,6
91708000,152538,2390,18,1,1,1,6
91709000,152358,2390,18,1,1,1,6
91710000,152178,2390,18,1,1,1,6
91711000,151999,2390,18,1,1,1,6
91712000,151819,2390,18,1,1,1,6
91713000,151639,2390,18,1,1,1,6
91714000,151459,2390,18,1,1,1,6
91715000,151279,2390,18,1,1,1,6
91716000,151098,2390,18,1,1,1,6
91717000,150917,2390,18,1,1,1,6
